EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
1	16:07:18	0	0.1000	4.342283309191123	6.501356601715088	0.5834	0.3688	0.4519
2	16:07:50	0	0.1000	1.929063130384204	4.127786159515381	0.6713	0.5440	0.6010
3	16:08:23	0	0.1000	1.4925810818014473	3.4279258251190186	0.7148	0.6030	0.6541
4	16:08:54	0	0.1000	1.1666496012402676	3.3436286449432373	0.7649	0.5761	0.6572
5	16:09:27	0	0.1000	1.0414817103709297	2.695481777191162	0.7799	0.6757	0.7241
6	16:09:58	0	0.1000	0.9315733171399982	2.7349658012390137	0.7968	0.6620	0.7232
7	16:10:30	0	0.1000	0.8332173272796061	2.965745687484741	0.7977	0.6020	0.6862
8	16:11:03	0	0.1000	0.748697598090117	2.4517393112182617	0.7661	0.6747	0.7175
9	16:11:35	0	0.1000	0.6958689093589783	2.512392997741699	0.8012	0.6787	0.7349
10	16:12:09	0	0.1000	0.6183868809335533	2.1497509479522705	0.8092	0.7223	0.7633